ID_ALUNO;REGIAO;UF;SEXO;COR_RACA;IDADE;MORA_MAE;MORA_PAI;MERENDA;FOME;CIGARRO;ALCOOL;DROGAS
104;1;11;1;4;15;1;1;2;3;2;2;2
105;1;11;2;4;15;1;1;5;1;2;1;2
106;1;11;2;4;15;1;2;3;1;2;1;2
107;1;11;1;1;15;1;1;1;2;2;1;2
108;1;11;2;4;15;1;1;4;1;1;1;1
109;1;11;2;4;14;1;1;4;1;2;2;2
110;1;11;2;4;14;1;2;1;3;1;1;1
111;1;11;2;1;14;1;2;5;1;2;2;2
112;1;11;1;1;15;1;1;2;2;2;2;2
113;1;11;2;1;14;1;2;4;2;1;1;1
114;1;11;2;4;15;1;1;4;1;2;1;2
115;1;11;1;1;14;1;1;5;1;2;2;2
116;1;11;2;4;14;1;1;1;1;2;2;2
117;1;11;1;2;19;1;1;-1;5;1;1;1
118;1;11;1;4;14;1;1;5;1;2;1;2
119;1;11;1;2;15;2;2;-1;1;2;2;2
120;1;11;1;4;16;1;1;4;3;1;1;1
121;1;11;1;2;14;2;1;1;1;2;2;2
122;1;11;2;2;14;1;1;-1;1;2;2;2
123;1;11;1;4;15;1;2;2;2;2;2;2
124;1;11;1;2;15;1;1;1;1;1;1;2
125;1;11;1;2;14;1;1;3;1;2;2;2
126;1;11;2;4;14;1;2;2;2;2;1;2
127;1;11;1;4;16;1;1;5;2;2;1;2
128;1;11;1;4;15;1;1;4;1;2;1;2
129;1;11;1;4;16;1;1;4;1;2;1;2
130;1;11;1;4;16;1;1;1;1;1;1;2
131;1;11;2;4;15;1;1;4;1;2;1;2
132;1;11;2;4;13;1;2;1;1;2;2;2
133;1;11;2;4;14;2;1;4;1;2;1;2
134;1;11;2;4;15;1;1;1;1;1;1;1
135;1;11;1;4;15;1;2;5;1;2;1;1
136;1;11;2;1;13;1;1;4;1;2;1;2
137;1;11;2;4;15;1;2;5;1;1;1;1
138;1;11;2;1;14;1;1;1;1;2;1;2
139;1;11;2;1;15;1;2;3;2;1;1;2
140;1;11;1;4;14;2;2;5;1;1;1;1
141;1;11;1;4;16;1;1;5;1;2;1;2
142;1;11;2;3;16;1;1;5;1;1;1;1
143;1;11;1;4;16;1;1;1;2;2;1;2
144;1;11;2;4;15;1;1;1;1;2;1;2
145;1;11;1;2;16;1;2;4;1;2;1;2
146;1;11;1;4;16;2;2;4;1;2;1;2
147;1;11;2;1;17;1;2;1;1;2;1;2
148;1;11;2;1;16;2;2;-1;1;2;2;2
149;1;11;1;2;15;1;2;5;1;2;2;2
150;1;11;1;2;14;1;1;5;1;2;2;1
151;1;11;1;3;16;2;2;2;1;1;1;1
152;1;11;2;1;13;1;1;5;1;1;1;2
153;1;11;2;4;14;1;1;-1;3;2;2;2
154;1;11;2;2;14;1;1;-1;3;1;1;2
155;1;11;2;3;14;1;1;-1;1;2;1;2
156;1;11;2;4;14;1;1;-1;1;2;1;2
157;1;11;2;1;14;1;1;1;1;2;2;2
158;1;11;2;2;14;1;2;-1;2;2;2;2
159;1;11;1;2;15;1;2;5;1;2;1;2
160;1;11;2;1;14;1;1;-1;1;2;2;2
161;1;11;1;5;14;1;1;4;1;2;2;2
162;1;11;1;1;15;1;1;5;1;2;2;2
163;1;11;1;5;13;1;2;-1;1;2;2;2
164;1;11;2;1;14;1;2;-1;3;2;1;2
165;1;11;1;1;14;1;2;-1;1;2;2;2
166;1;11;1;3;14;1;1;-1;1;1;2;2
167;1;11;2;4;14;1;2;-1;1;2;2;2
168;1;11;2;1;15;1;1;-1;2;2;1;2
169;1;11;2;1;13;1;1;1;1;2;2;2
170;1;11;2;4;14;1;2;-1;1;2;1;2
171;1;11;2;1;14;1;2;-1;1;2;1;2
172;1;11;2;1;13;2;1;-1;1;2;1;2
173;1;11;2;3;14;1;1;-1;1;2;1;2
174;1;11;2;4;13;1;1;-1;1;2;2;2
175;1;11;2;4;14;1;1;-1;1;2;2;2
176;1;11;2;4;14;1;1;-1;1;1;1;2
177;1;11;1;1;14;1;2;-1;2;2;1;2
178;1;11;2;1;14;2;2;-1;1;2;2;2
179;1;11;2;1;13;1;1;2;1;2;1;2
180;1;11;1;1;16;1;2;-1;1;1;1;1
181;1;11;2;1;14;1;1;-1;1;2;1;2
182;1;11;1;4;14;1;2;5;1;2;1;2
183;1;11;2;4;14;2;1;-1;2;2;1;2
184;1;11;2;1;14;1;1;-1;4;2;1;2
185;1;11;2;1;13;1;1;1;1;2;2;2
186;1;11;1;3;13;1;1;-1;3;2;2;2
187;1;11;2;4;14;1;1;-1;2;2;2;2
188;1;11;2;4;13;1;1;4;1;2;2;2
189;1;11;2;4;16;2;2;-1;1;1;1;2
190;1;11;2;3;14;1;1;-1;3;2;2;2
191;1;11;1;1;13;1;2;-1;1;2;1;2
192;1;11;2;1;14;2;2;-1;1;2;1;2
193;1;11;2;4;15;1;1;-1;1;2;2;2
194;1;11;1;4;14;1;1;-1;1;2;2;1
195;1;11;2;4;15;1;2;-1;1;2;2;2
196;1;11;2;1;16;1;1;-1;1;2;2;2
197;1;11;1;1;14;1;1;1;1;2;2;2
198;1;11;2;1;15;1;2;-1;1;2;2;2
199;1;11;1;1;13;1;1;-1;1;2;2;2
200;1;11;2;1;14;1;1;-1;3;2;1;2
201;1;11;1;4;14;1;1;2;1;2;1;2
202;1;11;2;4;14;1;2;-1;1;2;2;2
203;1;11;1;1;15;1;2;-1;2;2;2;2
204;1;11;2;4;14;1;1;-1;1;2;2;2
205;1;11;1;1;14;1;2;-1;5;2;2;2
206;1;11;2;4;14;1;2;2;3;2;1;2
207;1;11;2;4;14;1;1;-1;1;2;2;2
208;1;11;2;4;14;1;1;-1;1;2;2;2
209;1;11;1;1;14;1;2;-1;3;1;2;2
210;1;11;1;2;14;1;1;-1;1;2;2;2
211;1;11;2;1;14;1;1;-1;5;2;2;2
212;1;11;2;4;15;1;1;-1;1;2;2;2
213;1;11;2;2;14;1;1;-1;1;2;2;2
214;1;11;2;1;13;1;2;-1;1;2;1;2
215;1;11;2;4;14;1;2;-1;1;2;2;2
216;1;11;1;1;15;1;2;1;1;1;1;2
217;1;11;1;4;14;1;1;2;1;1;1;2
218;1;11;2;1;14;1;2;-1;1;1;2;2
219;1;11;2;1;13;1;2;-1;2;2;1;2
220;1;11;1;3;16;1;1;-1;1;1;1;2
221;1;11;2;1;13;1;1;-1;2;2;1;2
222;1;11;2;1;14;1;1;-1;1;1;1;1
223;1;11;2;4;13;1;2;-1;2;2;1;2
224;1;11;2;4;15;1;1;-1;4;2;1;2
225;1;11;1;4;14;1;2;-1;1;2;2;2
226;1;11;2;1;14;1;1;-1;3;2;2;2
227;1;11;1;4;16;1;1;-1;1;2;2;2
228;1;11;2;4;14;1;2;4;1;2;1;2
229;1;11;2;1;15;1;2;5;1;2;1;1
230;1;11;1;4;16;1;2;4;1;1;1;2
231;1;11;2;1;13;1;2;4;1;2;2;2
232;1;11;1;4;14;1;1;1;1;2;1;2
233;1;11;2;1;15;2;1;1;1;1;1;1
234;1;11;2;4;14;1;1;3;1;2;1;2
235;1;11;1;4;16;1;1;3;1;2;1;2
236;1;11;2;1;14;1;1;1;1;2;1;2
237;1;11;1;4;17;1;1;-1;1;1;2;1
238;1;11;2;4;13;1;1;5;1;2;1;2
239;1;11;1;4;14;1;1;5;1;2;2;2
240;1;11;1;4;14;1;2;5;1;2;2;2
241;1;11;2;4;15;1;1;-1;1;2;2;2
242;1;11;1;4;17;1;1;3;1;1;1;1
243;1;11;1;4;14;1;1;4;1;2;2;2
244;1;11;1;2;15;1;2;5;1;2;2;2
245;1;11;2;4;15;2;2;4;1;2;1;2
246;1;11;1;1;14;1;1;5;1;2;2;2
247;1;11;2;4;14;2;1;1;1;2;2;2
248;1;11;2;4;13;1;1;4;1;2;2;2
249;1;11;1;5;15;2;2;4;1;1;1;1
250;1;11;1;4;14;1;2;1;3;2;1;2
251;1;11;2;2;14;1;2;1;1;2;1;2
252;1;11;1;4;15;1;2;5;1;2;1;2
253;1;11;1;4;15;2;1;2;1;2;2;2
254;1;11;2;1;16;1;1;1;2;2;1;2
255;1;11;2;5;14;1;1;3;3;1;1;2
256;1;11;1;2;17;1;2;3;1;2;1;2
257;1;11;2;2;14;2;2;5;1;2;2;2
258;1;11;2;4;15;1;1;3;1;2;1;1
259;1;11;1;1;16;1;2;5;2;1;1;1
260;1;11;2;4;15;1;1;4;3;1;1;2
261;1;11;2;2;16;1;1;4;3;2;2;2
262;1;11;2;4;16;1;2;2;4;1;1;2
